email_id,sequence_id,step,subject,body,persona,industry,stage,open_rate,reply_rate
email_011,seq_fintech_compliance,5,SEC compliance assessment slot,"Hey {{first_name}}, We have a few free slots open this week for compliance audit gap assessments. We'll run a quick script on your logs structure to check for standard gaps. Are you free Thursday at 2 PM? Cheers,",VP Compliance,Fintech,decision,0.42,0.05
email_012,seq_fintech_compliance,6,Logs compliance checklist: final copy,"Hi {{first_name}}, Since I haven't heard back, I'll stop reaching out. You can find the raw logs compliance checklist here for your team's reference. All the best,",VP Compliance,Fintech,decision,0.28,0.01
email_013,seq_hr_recruiter,1,Reducing time-to-hire for engineering teams,"Hi {{first_name}}, Recruiting top-tier backend engineers is taking 45+ days for tech firms. We help HR leaders run automated technical assessments that filter out 80% of unqualified candidates before CV review. Are you open to a quick call? Best,",HR Director,HR Tech,awareness,0.60,0.10
email_014,seq_hr_recruiter,2,How ByteScale cut engineering time-to-hire by 50%,"Hey {{first_name}}, ByteScale used our automated screening assessments to reduce engineering time-to-hire from 40 days to 18 days, saving 20 hours of senior developer interview time. Let me know if you want the full case study. Best,",HR Director,HR Tech,consideration,0.45,0.06
email_015,seq_hr_recruiter,3,Technical assessment templates for HR,"Hi {{first_name}}, I put together 5 customizable coding assessment templates for Python, Go, and React engineering roles. They ensure candidate quality without frustrating candidates. Let me know if you want the Google Doc link. Thanks,",HR Director,HR Tech,consideration,0.52,0.09
email_016,seq_hr_recruiter,4,Frustrated with unqualified candidate spam?,"Hey {{first_name}}, Most job boards flood ATS systems with low-quality resumes. Our platform pre-screens candidates with a short coding test before they can submit. Would you like a 10-minute demo to see how it integrates with Greenhouse? Cheers,",HR Director,HR Tech,consideration,0.41,0.04
email_017,seq_hr_recruiter,5,Greenhouse integration walkthrough,"Hi {{first_name}}, Since you use Greenhouse, our candidate pre-screening tool can be activated with a single toggle. It triggers screening tests automatically when a CV is uploaded. Can we chat this Wednesday? Regards,",HR Director,HR Tech,decision,0.38,0.03
email_018,seq_hr_recruiter,6,Closing candidate screening files,"Hey {{first_name}}, Since candidate pre-screening isn't an active priority, I won't follow up again. If hiring velocity becomes a bottleneck later, feel free to check us out at https://example.com/recruiting. Thanks,",HR Director,HR Tech,decision,0.22,0.00
email_019,seq_health_ops,1,Reducing clinical workflow scheduling errors,"Hi {{first_name}}, Clinical scheduling bottlenecks cost clinics $50k annually in idle physician hours. We help healthcare operations managers optimize schedules using auto-allocation rules. Are you open to a brief chat next week? Best,",VP Operations,HealthTech,awareness,0.62,0.09
email_020,seq_health_ops,2,Automating physician rotation schedules,"Hey {{first_name}}, Following up. Our healthcare operations manager checklist outlines standard shift-scheduling conflicts in clinical rotations and how to automate them. Let me know if you want a copy. Cheers,",VP Operations,HealthTech,consideration,0.45,0.05
email_021,seq_health_ops,3,StJude Medical clinical scheduling success,"Hi {{first_name}}, StJude Medical used our auto-scheduling workflows to cut staff coordination errors by 70% and recover 12 idle physician hours weekly. Here is the case study: https://example.com/stjude-case. Best,",VP Operations,HealthTech,consideration,0.40,0.03
email_022,seq_health_ops,4,Physician burnout checklist for HealthTech ops,"Hey {{first_name}}, Schedule volatility is the #1 driver of clinician burnout. We created a checklist for clinical operations leaders on maintaining predictable shifts. Let me know if you'd like the PDF copy. Thanks,",VP Operations,HealthTech,consideration,0.48,0.06
email_023,seq_health_ops,5,Clinical workflow audit checklist,"Hi {{first_name}}, We have a few free operational scheduling gap assessments left for this quarter. We look at your current rotation patterns and highlight leakages. Are you open to a 10-minute audit call this Thursday? Regards,",VP Operations,HealthTech,consideration,0.39,0.04
email_024,seq_health_ops,6,Scheduling dashboard live preview,"Hey {{first_name}}, I recorded a short video walkthrough (3 mins) of our clinician allocation dashboard, highlighting how we auto-resolve double-bookings. Let me know if you want the video link. All the best,",VP Operations,HealthTech,decision,0.35,0.02
email_025,seq_health_ops,7,Operations file closeout,"Hi {{first_name}}, I assume clinical rotation scheduling optimization is not a focus right now. I'm closing out my file. If that shifts, you can grab time here: https://example.com/ops-calendar. Thanks,",VP Operations,HealthTech,decision,0.20,0.01
